"Daily Invoicing Report",3/12/10,,,,,,,
"Food Bank of Central & Eastern North Carolina",,,,,,,,
,,,,,,,,
,,,,,,,,
"Posting Date: 07/01/09..02/28/10, Location Code: MAIN",,,,,,,,
"Invoice Number","Invoice Date","Bill-to Agency No.","Name","Agency County","Shipment Method Code","Shipping Agent Code","Gross Weight","Amount Including Tax"
"D09-02163-1",7/1/09,1350,"House of Joshua Inc.","DURHAM","I-SHP","PKUP",26,4.68
"G09-01491-1",7/1/09,268,"PICASO/Pitt County AIDS","PITT","I-SHP","PKUP",48,8.64
"G09-01487-1",7/1/09,732,"The Anointed Ones Church","PITT","I-SHP","PKUP",49,8.82
"D09-02159-1",7/1/09,1357,"Peoples Christian Assembly","VANCE","I-SHP","PKUP",52,9.36
"D09-02153-1",7/1/09,271,"Christian Faith Center","GRANVILLE","I-SHP","PKUP",58,10.44
"G09-01498-1",7/1/09,1637,"The Bible Church of Christ","LENOIR","I-SHP","PKUP",60,6
"D09-02156-1",7/1/09,1503,"Zion Temple UCC of Durham","DURHAM","I-SHP","PKUP",86,14.58
"D09-02157-1",7/1/09,1,"Agape Corner","DURHAM","I-SHP","PKUP",102,18.36
"W09-00995-1",7/1/09,"WL355","Farmers Union Developmental","COLUMBUS","I-SHP","PKUP",131,23.58
"D09-02140-1",7/1/09,589,"Housing for New Hope","DURHAM","I-SHP","PKUP",144,22.38
"G09-01486-1",7/1/09,986,"Bread of Life/Grifton","PITT","I-SHP","PKUP",165,14.04
"W09-00989-1",7/1/09,"WL196","Helping Hands/St Stanislaus Ch","NEWHANOVER","I-SHP","PKUP",174,31.32
"S09-01437-1",7/1/09,520,"Port Human Services","MOORE","I-SHP","PKUP",192,34.56
"D09-02143-1",7/1/09,920,"Haw River Baptist Church","CHATHAM","I-SHP","PKUP",193,28.98
"G09-01495-1",7/1/09,1347,"Hope of Glory Ministries, Inc.","PITT","I-SHP","PKUP",193,34.74
"W09-00994-1",7/1/09,"WL370","KC - Farmers Union","COLUMBUS","I-SHP","PKUP",194,117.66
"D09-02151-1",7/1/09,1529,"New Opportunities Second","DURHAM","I-SHP","PKUP",262,39.96
"G09-01479-1",7/1/09,852,"Herring Grove F.W.B. Church","LENOIR","I-SHP","PKUP",279,13.5
"S09-01438-1",7/1/09,482,"Liberty Christian Church","MOORE","I-SHP","PKUP",281,42.3
"D09-02150-1",7/1/09,1350,"House of Joshua Inc.","DURHAM","I-SHP","PKUP",284,41.1
"D09-02144-1",7/1/09,934,"Urban Ministries of Durham","DURHAM","I-SHP","PKUP",291,18.74
"D09-02162-1",7/1/09,1420,"FTHOP","DURHAM","I-SHP","PKUP",321,36.36
"D09-02145-1",7/1/09,306,"West End Community Center","DURHAM","I-SHP","PKUP",348,35.82
"G09-01494-1",7/1/09,1347,"Hope of Glory Ministries, Inc.","PITT","I-SHP","PKUP",352,63.36
"G09-01499-1",7/1/09,908,"Abundant Life Miracle Center","CRAVEN","I-SHP","PKUP",359,23.76
"W09-00988-1",7/1/09,"WL101","Bethesda Christian Life Church","NEWHANOVER","I-SHP","PKUP",410,48.6
"D09-02154-1",7/1/09,35,"Durham Rescue Mission","DURHAM","I-SHP","PKUP",424,63.54
"S09-01442-1",7/1/09,1437,"Salvation Army of Lee County","LEE","I-PKUP","PKUP",447,56.46
"D09-02141-1",7/1/09,1290,"Upon This Rock","GRANVILLE","I-SHP","PKUP",467,40.86
"G09-01489-1",7/1/09,1278,"Once Lost Now Found, Inc.","PITT","I-SHP","PKUP",471,74.86
"D09-02146-1",7/1/09,1026,"Addiction Recovery Center","VANCE","I-SHP","PKUP",500,77.9
"G09-01482-1",7/1/09,"DI011","Direct Distr. -- Pitt County","PITT","I-PKUP","PKUP",510,0
"G09-01481-1",7/1/09,1349,"Pentecostal Temple","PITT","I-SHP","PKUP",526,79.2
"G09-01484-1",7/1/09,1284,"Emmanuel Community FWB, Inc.","PITT","I-SHP","PKUP",532,49.14
"W09-00993-1",7/1/09,"WL378","Community Boys & Girls Club","NEWHANOVER","I-SHP","PKUP",539,84.02
"S09-01441-1",7/1/09,1154,"Moore Buddies","MOORE","I-SHP","PKUP",547,43.38
"S09-01439-1",7/1/09,1210,"Carthage United Methodist Ch.","MOORE","I-SHP","PKUP",578,79.88
"D09-02155-1",7/1/09,791,"Victorious Praise Fellowship","DURHAM","I-SHP","PKUP",592,47.34
"G09-01483-1",7/1/09,707,"Holy Temple Church","PITT","I-SHP","PKUP",651,47.88
"D09-02142-1",7/1/09,507,"Big Ruin Creek Baptist","VANCE","I-SHP","PKUP",747,79.74
"D09-02149-1",7/1/09,1018,"Holy Faith Temple, C.F.A.P","VANCE","I-SHP","PKUP",765,72.94
"W09-00987-1",7/1/09,"WL215","Bethany Presbyterian Church","NEWHANOVER","I-SHP","PKUP",765,13.5
"G09-01485-1",7/1/09,1624,"Love Ministries Church (LMC)","PITT","I-SHP","PKUP",892,160.56
"G09-01496-1",7/1/09,1637,"The Bible Church of Christ","LENOIR","I-SHP","PKUP",895,88.76
"G09-01492-1",7/1/09,1644,"KC - The Mighty Tau, Inc.","CRAVEN","I-SHP","PKUP",1011,271.86
