"UNC Product Type / Item Receiving Statistics",,,3/22/10,,,,,,,,,
"Food Bank of Central & Eastern North Carolina",,,,,,,,,,,,
"UNC Product Type Total",810687,,,,,,,,,,,
,,,,,,,,,,,,
"Report Total",28407905,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Order No. ","Document No. ","Item No.","Description","Source No.","Donor","UNC Product Source Code","Posting Date","Lot No.","Expiration Date","Quantity","Unit of Measure","Gross Weight"
,"DCR09-00074","JU09010","LAURA LYNN ORANGE JUICE 4/128 OZ",1533,"Inter-Faith Food Shuttle","FOODBANK",7/1/09,72605,12/31/99,-996,"CS",-35856
,"DCR09-00075","FP09002","FROZEN PRODUCT ASST. COMP. - WEIGH",1844,"SH FOOD BANK OF SOUTHEAST NC","FOODBANK",7/1/09,72749,12/31/99,-2140,"LB",-2140
"DS09-00960","DS09-00960-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2815,"Food Lion # 834","A2H LOCAL",7/1/09,72615,12/31/99,7,"LB",7
"DG09-00579","DG09-00579-1","FD09001","FOOD DRIVE - WEIGH",1586,"LOCAL FOOD DRIVES","LOCAL",7/1/09,72594,12/31/99,12,"LB",12
"DS09-00960","DS09-00960-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",2815,"Food Lion # 834","A2H LOCAL",7/1/09,72616,12/31/99,13,"LB",13
"DR09-02574","DR09-02574-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2254,"Sysco Foodservice","A2H LOCAL",7/1/09,72914,12/31/99,13,"LB",13
"DG09-00577","DG09-00577-1","FD09001","FOOD DRIVE - WEIGH",1586,"LOCAL FOOD DRIVES","LOCAL",7/1/09,72592,12/31/99,17,"LB",17
"DG09-00576","DG09-00576-1","FD09001","FOOD DRIVE - WEIGH",1586,"LOCAL FOOD DRIVES","LOCAL",7/1/09,72591,12/31/99,24,"LB",24
"DG09-00578","DG09-00578-1","FD09001","FOOD DRIVE - WEIGH",1586,"LOCAL FOOD DRIVES","LOCAL",7/1/09,72593,12/31/99,42,"LB",42
"DW09-00350","DW09-00350-1","FD09001","FOOD DRIVE - WEIGH",2516,"All Saints Anglican Parish","LOCAL",7/1/09,72624,12/31/99,47,"LB",47
"DG09-00574","DG09-00574-1","FD09001","FOOD DRIVE - WEIGH",2459,"Lowes","LOCAL",7/1/09,72588,12/31/99,53,"LB",53
