"NC Item Register",3/22/10,,,,,,
"Food Bank of Central & Eastern North Carolina",,,,,,,
,,,,,,,
,,,,,,,
"Item Register: Source Code: ITEMJNL",,,,,,,
"Item Ledger Entry: Posting Date: 07/01/09..02/28/10, Entry Type: Negative Adjmt.",,,,,,,
,,,,,,,
"Journal Batch Name","Item No.","Description","Posting Date","Entry Type","Document No.","Quantity","Total Weight"
"WASTE","RF09002","REFRIGERATED PRODUCT ASST. COMP. - WEIGH",7/7/09,"Negative Adjmt.","WASTE",-640,-640
"WASTE","PR09002","VEGETABLES - WEIGH",7/8/09,"Negative Adjmt.","INV",-1315,-1315
"WASTE","PF09001","PREPARED SALADS - WEIGH",7/8/09,"Negative Adjmt.","INV",-1002,-1002
"WASTE","PR09005","SWEET POTATOES - WEIGH",7/8/09,"Negative Adjmt.","INV",-632,-632
"WASTE","RF09002","REFRIGERATED PRODUCT ASST. COMP. - WEIGH",7/8/09,"Negative Adjmt.","REC",-575,-575
"WASTE","PR08009","WHITE POTATOES - WEIGH",7/8/09,"Negative Adjmt.","INV",-376,-376
"WASTE","EN09007","HEALTHY CHOICE FRESH MIXERS MEAL CREATIONS - WEIGH",7/8/09,"Negative Adjmt.","INV",-22,-22
"WASTE","PP09024","ZIPLOC BIG BAGS FOR STORAGE 6/3 CT.",7/8/09,"Negative Adjmt.","INV",-5,-20
"WASTE","SK09045","KASHI TRAIL MIX CHEWY GRANOLA BAR 12/7.4 OZ",7/8/09,"Negative Adjmt.","INV",-1,-8
"WASTE","BR09004","WHITE TACO SHELLS 12/4.6 OZ",7/10/09,"Negative Adjmt.","WASTE",-60,-300
"WASTE","EG09001","EGGS GRADE B SMALL - DOZEN",7/10/09,"Negative Adjmt.","WASTE",-88,-176
"WASTE","SK09045","KASHI TRAIL MIX CHEWY GRANOLA BAR 12/7.4 OZ",7/10/09,"Negative Adjmt.","WASTE",-4,-32
"WASTE","CD09022","PETER PAN CREAMY PEANUT BUTTER 12/18 OZ",7/10/09,"Negative Adjmt.","WASTE",-1,-15
"WASTE","PR09002","VEGETABLES - WEIGH",7/14/09,"Negative Adjmt.","WASTE",-2040,-2040
"WASTE","PR09006","WHITE POTATOES - WEIGH",7/14/09,"Negative Adjmt.","WASTE",-852,-852
"WASTE","PF09001","PREPARED SALADS - WEIGH",7/14/09,"Negative Adjmt.","WASTE",-364,-364
"WASTE","FP09001","FROZEN PRODUCT ASST. - WEIGH",7/14/09,"Negative Adjmt.","WASTE",-38,-38
"WASTE","BV09018","MILK SHELF STABLE 12/32 OZ",7/14/09,"Negative Adjmt.","WASTE",-1,-26
"WASTE","BV09018","MILK SHELF STABLE 12/32 OZ",7/14/09,"Negative Adjmt.","WASTE",-1,-26
"WASTE","KCJU015","KIDS CAFE 100% JUICE (APPLE) 40/6.75 OZ",7/14/09,"Negative Adjmt.","WASTE",-1,-20
"WASTE","SA09001","SALVAGE - WEIGH",7/17/09,"Negative Adjmt.","WASTE",-286,-286
"WASTE","CD07015","MT. OLIVE KOSHER DILLS 12/32 OZ",7/17/09,"Negative Adjmt.","WASTE",-3,-111
"WASTE","PA09001","PASTA BAGGED - WEIGH",7/17/09,"Negative Adjmt.","WASTE",-100,-100
"WASTE","CD07015","MT. OLIVE KOSHER DILLS 12/32 OZ",7/17/09,"Negative Adjmt.","WASTE",-2,-74
"WASTE","MX09003","PANCAKE MIX 6/5 LB *ON-SITE-ONLY*",7/17/09,"Negative Adjmt.","WASTE",-1,-30
"WASTE","EN09006","SKILLET MEALS 12 CT.",7/17/09,"Negative Adjmt.","WASTE",-3,-21
"WASTE","PU08006","BEANS & FRANKS 24/7.5 OZ",7/17/09,"Negative Adjmt.","WASTE",-1,-14
"WASTE","BV09001","SODAS ASSORTED - WEIGH",7/20/09,"Negative Adjmt.","WASTE",-540,-540
"WASTE","PR09005","SWEET POTATOES - WEIGH",7/20/09,"Negative Adjmt.","WASTE",-515,-515
"WASTE","VC09001","BRUCE FOOD ASST. VEGETABLES - WEIGH",7/20/09,"Negative Adjmt.","WASTE",-203,-203
"WASTE","RF09002","REFRIGERATED PRODUCT ASST. COMP. - WEIGH",7/30/09,"Negative Adjmt.","REC",-990,-990
"WASTE","TF371","MIXED FRUIT 24/#300",7/30/09,"Negative Adjmt.","TEFAP",-8,-208
"WASTE","RM09001","RETAIL MEAT FROZEN - WEIGH",7/30/09,"Negative Adjmt.","DAMAGED",-137,-137
"WASTE","TF373","PEACHES 24/#300",7/30/09,"Negative Adjmt.","TEFAP",-4,-104
"WASTE","TF375","PEARS 24/#300",7/30/09,"Negative Adjmt.","TEFAP",-1,-28
"WASTE","TF377","TOMATO SAUCE 24/#300",7/30/09,"Negative Adjmt.","TEFAP",-1,-26
"WASTE","TF370","MILK UHT 12/32 OZ",7/30/09,"Negative Adjmt.","TEFAP",-1,-25
"WASTE","TF378","TUNA 24/12 OZ",7/30/09,"Negative Adjmt.","TEFAP",-1,-21
"WASTE","CD09025","BOSTON MARKET BEEF GRAVY 6/12 OZ",7/30/09,"Negative Adjmt.","DAMAGED",-1,-7
"WASTE","PR09006","WHITE POTATOES - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-31623,-31623
"WASTE","PR09005","SWEET POTATOES - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-14405,-14405
"WASTE","VC09001","BRUCE FOOD ASST. VEGETABLES - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-12600,-12600
"WASTE","VC09001","BRUCE FOOD ASST. VEGETABLES - WEIGH",7/31/09,"Negative Adjmt.","WASTE",-10652,-10652
"WASTE","SA09001","SALVAGE - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-8490,-8490
"WASTE","PR09004","MELONS - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-8135,-8135
"WASTE","PR09002","VEGETABLES - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-5975,-5975
"WASTE","PR09006","WHITE POTATOES - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-5000,-5000
"WASTE","PR09002","VEGETABLES - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-2900,-2900
"WASTE","PR09004","MELONS - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-2430,-2430
"WASTE","PR09006","WHITE POTATOES - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-1377,-1377
"WASTE","CD09021","CARNATION EVAPORATED MILK - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-1370,-1370
"WASTE","PR09004","MELONS - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-1285,-1285
"WASTE","BF09002","SIMILAC ISOMIL ADVANCE SOY FORMULA W/IRON 6/32 OZ",7/31/09,"Negative Adjmt.","RAL JUL",-65,-910
"WASTE","CD09021","CARNATION EVAPORATED MILK - WEIGH",7/31/09,"Negative Adjmt.","WASTE",-877,-877
"WASTE","NF09039","Wal-Mart Non Food Products Weigh",7/31/09,"Negative Adjmt.","RAL JUL",-495,-495
"WASTE","EG09001","EGGS GRADE B SMALL - DOZEN",7/31/09,"Negative Adjmt.","RAL JUL",-240,-480
"WASTE","VC09013","DEL MONTE PUREED PEACHES 12/15 OZ",7/31/09,"Negative Adjmt.","RAL JUL",-33,-462
"WASTE","RM09001","RETAIL MEAT FROZEN - WEIGH",7/31/09,"Negative Adjmt.","WASTE",-378,-378
"WASTE","PR09003","LEAFY GREEN & BAGGED SALAD - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-310,-310
"WASTE","RM09001","RETAIL MEAT FROZEN - WEIGH",7/31/09,"Negative Adjmt.","WASTE",-304,-304
"WASTE","EG09001","EGGS GRADE B SMALL - DOZEN",7/31/09,"Negative Adjmt.","RAL JUL",-152,-304
"WASTE","RM09001","RETAIL MEAT FROZEN - WEIGH",7/31/09,"Negative Adjmt.","WASTE",-156,-156
"WASTE","FD09001","FOOD DRIVE - WEIGH",7/31/09,"Negative Adjmt.","WASTE",-139,-139
"WASTE","PF09001","PREPARED SALADS - WEIGH",7/31/09,"Negative Adjmt.","WASTE",-125,-125
"WASTE","FD09002","FOOD DRIVE STAMP OUT HUNGER - COMP. - WEIGH",7/31/09,"Negative Adjmt.","WASTE",-105,-105
"WASTE","PR09004","MELONS - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-96,-96
"WASTE","BR09004","WHITE TACO SHELLS 12/4.6 OZ",7/31/09,"Negative Adjmt.","RAL JUL",-17,-85
"WASTE","RM09001","RETAIL MEAT FROZEN - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-83,-83
"WASTE","SFDY002","SUMMER FEEDING PRGM 2% RF MILK 12 HALF PT.",7/31/09,"Negative Adjmt.","RAL JUL",-11,-77
"WASTE","BR09001","BREAD/BAKED GOODS DRY - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-71,-71
"WASTE","KCSK021","KIDS CAFE-SINGLE SERVE (MIXED FRUIT) 72/4 OZ",7/31/09,"Negative Adjmt.","WASTE",-3,-66
"WASTE","JU09009","TROPICANA NO PULP ORANGE JUICE 6/2.63 LTRS",7/31/09,"Negative Adjmt.","RAL JUL",-1,-39
"WASTE","RM09002","RETAIL READY TO EAT ASST. - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-35,-35
"WASTE","PR09004","MELONS - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-31,-31
"WASTE","KCSK021","KIDS CAFE-SINGLE SERVE (MIXED FRUIT) 72/4 OZ",7/31/09,"Negative Adjmt.","WASTE",-1,-22
"WASTE","PR09001","FRESH FRUITS - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-21,-21
"WASTE","PA09004","RICE BAGGED - WEIGH",7/31/09,"Negative Adjmt.","WASTE",-17,-17
"WASTE","PA09001","PASTA BAGGED - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-15,-15
"WASTE","SK09041","POPPYCOCK CASHEW LOVERS SNACK 6/24 OZ",7/31/09,"Negative Adjmt.","RAL JUL",-1,-11
